HIP_ID,Solution_Types
80484,PC
80486,PC
80680,PC
80687,PC
80824,PC
80838,PC
80902,PC
81022,PC
81208,PC
81375,PC
82632,PC
82651,PC
83020,PC
83043,PC
83289,PC
83389,PC
83541,PC
83547,PC
83827,PC
83941,PC
83949,PC
83983,PC
84069,PC
84171,PC
84460,PC
84607,PC
84769,PC
84787,PC
84856,PC
84988,PC
85268,PC
85294,PC
85523,PC
85647,PC
85911,PC
86040,PC
86057,PC
86087,PC
86162,PC
86214,PC
86221,PC
86287,PC
86375,PC
86620,PC
86796,PC
87330,PC
87601,PC
87937,PC
88048,PC
88194,PC
88268,PC
88348,PC
88414,PC
88595,PC
88617,PC
88650,PC
89047,PC
89354,PC
89474,PC
89583,PC
89844,PC
90004,PC
90485,PC
90593,PC
90979,PC
90988,PC
91085,PC
91128,PC
91258,PC
91388,PC
91608,PC
91768,PC
91852,PC
92680,PC
92895,PC
93101,PC
93281,PC
93373,PC
93540,PC
93746,PC
93858,PC
94075,PC
94112,PC
94235,PC
94256,PC
94465,PC
94576,PC
94645,PC
94761,PC
94931,PC
94951,PC
95015,PC
95124,PC
95262,PC
95467,PC
95740,PC
96078,PC
96160,PC
96258,PC
96507,PC
96618,PC
96861,PC
96901,PC
97166,PC
97233,PC
97336,PC
97546,PC
97657,PC
97769,PC
97938,PC
98505,PC
98668,PC
98698,PC
98714,PC
98767,PC
98959,PC
99115,PC
99175,PC
99306,PC
99496,PC
99699,PC
99711,PC
99770,PC
99825,PC
99894,PC
100970,PC
101252,PC
101503,PC
101806,PC
101948,PC
101966,PC
102125,PC
102401,PC
102409,PC
103527,PC
103768,PC
104202,PC
104436,PC
104513,PC
104780,PC
104903,PC
105056,PC
105232,PC
105854,PC
106006,PC
106097,PC
106353,PC
106440,PC
106824,PC
107038,PC
107089,PC
107160,PC
107251,PC
107350,PC
107587,PC
107772,PC
107773,PC
107985,PC
108162,PC
108296,PC
108375,PC
108513,PC
108859,PC
108870,PC
109378,PC
109381,PC
109384,PC
109388,PC
109577,PC
109600,PC
109656,PC
109876,PC
110094,PC
110443,PC
110620,PC
110758,PC
110813,PC
110852,PC
111136,PC
111143,PC
111553,PC
111928,PC
112190,PC
112441,PC
112527,PC
113020,PC
113044,PC
113103,PC
113137,PC
113238,PC
113357,PC
113421,PC
113834,PC
114046,PC
114189,PC
114322,PC
114622,PC
114699,PC
114840,PC
114855,PC
114933,PC
115100,PC
115211,PC
115218,PC
115359,PC
115662,PC
115697,PC
115714,PC
115752,PC
116076,PC
116084,PC
116132,PC
116158,PC
116221,PC
116250,PC
116384,PC
116454,PC
116616,PC
116630,PC
116727,PC
116745,PC
116748,PC
116805,PC
116906,PC
117883,PC
118228,PC
118319,PC
120005,PC
